Title,Company,Description,Date,City
Senior Data Scientist,FabFitFun,"FabFitFun is seeking a Senior Data Scientist to help build data into every part of the business. In this role, you will use machine learning and statistical models to analyze and solve problems, as well as clean and explore data, test and deploy data services, and tune and optimize existing algorithms. Our ideal candidate will be up to date with modern data science techniques and have experience with subscription business models. 

What you'll do:
Develop statistical models of customer, product, and operations data that will be used for decision-making throughout the company. Current applications include product recommendation, customer segmentation, retention and lifetime value prediction, and more
Build clear visualizations to convey complex ideas and analyses to executives and business unit leaders
Perform deep and continuous exploration of high-volume data
Combine and analyze data from multiple data sources (transactions, surveys, web and mobile events) to build holistic models of our members and products
Own analytics projects from start to delivery (business requirements, data exploration, model development, deploying models, and maintaining models and data services)
Help lead and manage best practices on a fast-growing and high-profile team
What you'll bring:
Master's degree (Ph.D. preferred) in statistics, computer science, mathematics, data science, or other quantitative science (psychology, economics, physics, etc.)
3+ years of relevant work experience in statistics, data science, or machine learning (or Ph.D. in a quantitative field)
Proven ability to tackle business or research problems with data science solutions
Knowledge of machine learning algorithms (clustering, regression, classification, optimization) and statistical inference
Experience with:
Data manipulation, statistical modeling, and data visualization in Python, R, or both
Building interactive visualizations with visualization platforms (Looker, Tableau, Shiny, etc.)
SQL databases and consumer data
Bonus points if you have any experience with either recommender systems, natural language processing (NLP), constrained optimization, or hierarchical Bayesian modeling
What you'll get:
Opportunity to work on rich data sets with direct business impact
A modern data science platform with full ownership over deploying and optimizing models
Full support from dedicated data engineering and business intelligence teams
Ability to take the lead on major projects in areas like product recommendation, customer segmentation, lifetime value prediction
Amazing benefits including medical, dental, vision, FSA, and 401k
Unlimited PTO
Catered meals, kitchen stocked with great snacks and drinks
Free FabFitFun subscription and and quarterly credit in the Add-Ons store
",1/16/2019,Los Angeles
Data Scientist,Dollar Shave Club,"ABOUT DSC:

We’re on a mission to build a better bathroom. We started with razors way back in 2011, and now millions and millions of Members later, we’ve expanded into shave products, skin care, hair styling, with more to come. We’re always growing and reinventing, and we rely on killer talent to help us achieve our goal of owning the bathroom. If you’re a team-playing innovator, you’ll fit right in. A sense of humor helps, too.

ROLE SUMMARY:

We’re seeking a Machine Learning Scientist who specializes in solving challenging business problems by prototyping and designing machine learning solutions, tuning and performing model selection, and productionizing said solutions. The scientist will apply principles of data science, statistics, and machine learning to communicate with business stakeholders, perform data wrangling and exploration, rapidly prototype and test potential solutions, provide feedback and estimate ROI, productionize code, and refactor existing solutions. The Machine Learning Scientist will work in the Data Science Team, which is a Center of Excellence for Data Science, Data Transport and Cluster Computing at DSC. The role requires close collaboration with teammates and squad members in feature design, sprint planning, task execution, code review and feature deployment.

Responsibilities

Implement and rapidly prototype existing machine learning algorithms.
Refactor existing machine learning algorithms.
Design, implement, and productionize statistical algorithms, machine learning solutions, and predictive analytics
Translate business concerns and problems into tractable, data-driven problem statements testable via experimental design and hypothesis testing
Perform data exploration, analysis, and visual storytelling on distributed big data sets.
Assess feasibility of machine learning solutions and predict ROI
Perform data wrangling, feature engineering, and feature selection using statistics, analytics, and algorithms.
Design systems that generate self-learning, continuous training models for a variety of signals and tasks
Support and advise on data analytics across the company.
Teach and explain data science to team members and non-technical users
Assist in establishing data science workflow
Qualifications

MS or PhD in Computer Science, Mathematics, or related computational science field; or equivalent work experience
1+ years experience with Python, R, or similar programming languages
2+ years experience with big data exploration, machine learning algorithm selection and implementation
Fluency in SQL or equivalent query language
Expertise in statistics, experimental methodology, and data analysis
In-depth knowledge of machine learning algorithms and the mathematical and statistical foundations of machine learning
Enthusiasm to work in a fast-paced engineering team
DSC CULTURE:

We work in an open-air, freshly renovated office in the heart of Silicon Beach. As we disrupt industries, our plan is to think big but stay small. No egos. No jerks. No prima donnas. Just awesome folks who live and breathe collaboration and dig the perks like haircuts, lunches and team happy hours. And yes, we have snacks.
",1/14/2019,Los Angeles
Data Scientist,University of California - Irvine,"Contract
Under the general supervision of Professors Dana Mukamel and Kai Zheng, the incumbent will join the CalMHSA Mental Health Tech Suite Innovation (INN) Evaluation Team. This large, statewide multi-year study will evaluate the effectiveness of two new and innovative applications offered to people with mental health conditions, which include opportunities for online chatting between users and online listeners Responsibilities of the incumbent will include managing and analyzing text data created by users of the two mental health applications as part of the research and evaluation objectives of the team. The incumbent will collaborate with faculty and other team researchers, and will be expected to create under supervision and direction variables describing the usage of the apps, the interactions between users, and the effectiveness of the apps. The incumbent will also be expected to interact with the vendors of the apps around data issues.

The University of California, Irvine is an Equal Opportunity/Affirmative Action Employer advancing inclusive excellence. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or other protected categories covered by the UC nondiscrimination policy.

Salary: Monthly $4,968.58 - $6,755.83
Total Hours: 8-5, M-F
Contract Position.
Final candidate subject to background check.
As a federal contractor, UC Irvine is required to use E-Verify to confirm the work status of individuals assigned to perform substantial work under certain federal contracts/subcontracts. 
Please attach your resume.
",1/17/2019,Los Angeles
Pr. Data Scientist,Medtronic,"Careers that Change Lives
This position may have a remote working arrangement or may be located at one of our Medtronic locations.

It thrills you to discover new things from uninformative raw data. Be part of Data team focused on transforming how chronic disease is managed through application of modern data science & engineering application solutions, catering to both your engineering mentality and desire to make a difference in world. With access to large amounts of related data, you will help create data solutions that simplify chronic disease care and improve clinical outcomes.


ADVANCED INSULIN MANAGEMENT is focused on serving patients in need of insulin pump therapy. This business unit is focused on driving increased automation to our insulin pump platform, to maximize the time people are within a set target glucose range. The ultimate goal is to develop a fully automated closed loop system. You would be central to making this happen.
Our strategy is to become a holistic diabetes management company focused on making a real difference in outcomes and cost. We want to transform healthcare toward value-based models by driving both product and business model innovation with the goal of elevating patient experience, improving clinical outcomes and lowering the total cost of care for our customers.

A Day in the Life

Identify novel ways to apply machine learning and help drive our data science roadmap.
Apply machine learning and advanced statistical methods to derive novel insights from vast amounts of medical devices data (CGM, Insulin pumps & pens, Meter BG).
Design, implement, test and deploy state-of-the-art machine learning models in a production environment.
Work closely with the engineering team to build infrastructure for data science.
Keep up-to-date with the latest techniques and approaches in machine learning and statistical analysis.
Ability to communicate analysis in a clear, precise, and actionable manner

Develops, inspects, mines, transforms, and models data to raise productivity, improve decision making, and gain competitive advantage.
Conducts statistical analysis on data and information to ensure correct predictive forecasting or classification.
Manages all aspects of end-to-end data processing utilizing customized report building functions of systems.
Maintains analytical systems, verifies the accuracy of the data, and acts as a liaison to the business.

Must Have - Minimum Requirements:

Bachelor’s with 7+ years of experience, Master’s with 5+ years of experience or a Ph.D. with 3+ years of experience. Degree must be in statistics, Math, Computer Science or similar field.
Experience in Python, R or similar data-science scripting language
Experience in using SQL for advanced data analysis and visualization

Nice to have:
Strong track record in building machine learning models using real-world large datasets, that work in production with positive outcomes
Prior experience with Spark and the AWS stack
Experience with Tensorflow or H20.AI libraries
Proficient in relational database management systems with knowledge of non-relational database systems
Experience with statistical modelling
Background in healthcare & diabetes physiology
Understanding of FDA regulations including (ISO) 13485

Medtronic has amazing benefits:
Industry Leading Healthcare
Competitive Retirement and Stock Programs
Educational Resources and Financial Assistance
Family Care Leave
Matching Gift and Volunteer Grants
Opportunities to Network and Grow
Mentoring
Flexible Paid Time Off
Well-being Resources, Activities and Rewards
A “Thank-You” Culture
About Medtronic

Together, we can change healthcare worldwide. At Medtronic, we push the limits of what technology, therapies and services can do to help alleviate pain, restore health and extend life. We challenge ourselves and each other to make tomorrow better than yesterday. It is what makes this an exciting and rewarding place to be.

We want to accelerate and advance our ability to create meaningful innovations - but we will only succeed with the right people on our team. Let’s work together to address universal healthcare needs and improve patients’ lives. Help us shape the future.

Physical Job Requirements

The above statements are intended to describe the general nature and level of work being performed by employees assigned to this position, but they are not an exhaustive list of all the required responsibilities and skills of this position.

The physical demands described within the Day in the Life section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
",1/15/2019,Los Angeles
Data Scientist,Meredith Corporation,"Job Title

Data Scientist 
Job Description

Bizrate Insights:

With over 25 million surveys collected annually from thousands of retailers worldwide, Bizrate Insights is one of the largest sources of verified customer-generated seller ratings and reviews, helping both retailers and consumers make informed decisions. Bizrate Insights’ core solutions cover online visitors and buyers as well as retail store buyers, allowing retailers of all sizes to build best-in-class customer experiences, gain competitive intelligence, and attract more qualified traffic.


Why you should work with us:

Our biggest investment is in people like you. At Meredith, we offer comprehensive health benefits and 401k matching, plus career-boosting opportunities like tuition reimbursement, learning sessions and attendance at tech conferences to help you thrive.
For this role at Bizrate Insights, you can expect the fast-paced excitement of a startup with the rock-solid support from Meredith, an industry leader, with some nice perks on the side. If you are a passionate technologist who can get a lot done while having fun, come join a team of like-minded, skilled professionals where you can learn and share your knowledge!

You will:

Participating in activities across the data science lifecycle: business case definition, data collection, cleaning, integration, analysis, visualization, feature engineering, modeling with machine learning algorithms, interpreting the models/results, and reporting.
Communicating and coordinating effectively with product managers, software engineers, analytical groups and customer-facing teams in an agile environment.
Working with data processing pipelines for analyzing gigabyte- to terabyte-scale data from multiple sources.
Designing actionable data products based on statistical analysis and machine learning methods and working on their deployment to enterprise systems to move the needle for business at Meredith / Bizrate Insights.
Learning continuously in the areas of data science, machine learning, ad technology, marketing operations, data ecosystems, content operations, social media analysis and industry standard measurements.
You have:

Degree in computer science, engineering, statistics, or other quantitative fields. (Master’s degree is preferred)
Solid understanding of popular machine learning algorithms including supervised, un-supervised, and semi-supervised ones. What is the difference between algorithms? What algorithm would you choose for a given problem and why? What are the pros and cons of these algorithms? What is cross validation, hold-out sample, RMSE, overfitting, bias, …?
Proficient in one or more core data science programming languages (Python or R) and the ability to become functional in emergent languages and APIs as needed (Java, Scala, …).
Practical experience of building a full cycle machine learning engine from cleansing data to training and hyper parameter optimization to methods for evaluating the accuracy to identifying the ways to improve the accuracy of the model.
Exposed to and experienced with state-of-the-art machine learning toolkits such as Spark ML, TensorFlow, scikit-learn, xgboost, … preferably in Big Data frameworks (e.g. Apache Spark).
A self-learner with capability to switch from the independent contributor and leader of the project to a collaborative contributor on the team (and vice versa) depending on the demand of the project and availability of the resources.
Collaborate with stakeholders, partners and clients to ensure that all parties are aligned and supportive of the project's priorities, requirements, timeline and objectives.
Familiarity with the MapReduce paradigm and Apache Spark project.
Proficient with SQL as a means of gathering data from relational databases.
Practiced data manipulation and mining of structured and unstructured data.
Experience in visualizations for business stakeholders using a variety of visualization tools from MS Excel, libraries in R/Python.
Familiarity with AWS ecosystem is a plus.



It is the policy of Meredith to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Meredith will provide reasonable accommodations for qualified individuals with disabilities.


Meredith participates in the federal E-Verify program to confirm the identity and employment authorization of all newly hired employees. For further information about the E-Verify program, please click here: http://www.uscis.gov/e-verify/employees
",1/14/2019,Los Angeles
Data Scientist,Pluto TV,"Who We Are 

Based in West Hollywood, CA, Pluto TV is the leading free streaming television service in the US. We are defining the future of television, delivering over 100 live, linear channels, in a lean back experience and thousands of hit movies and television on demand. Available on all devices, millions of viewers tune in each month to enjoy premier content spanning all categories including movies, news, entertainment, lifestyle & more. Pluto TV boasts an exclusive and coveted network of world renowned corporate and VC investors, elite industry advisors and an accomplished and proven leadership team. 

Citizenship 

Citizens of Pluto TV have the privilege of entertaining millions of people. We are entrepreneurs looking to revolutionize the future of TV. While our planet is small, our ambition is boundless. The stakes don't get much higher. 

Becoming a Citizen is hard work. We need self-starters that thrive in changing environments, who treat company resources like their own, and who deliver seemingly impossible outcomes at warp speed. It's the only way we stay ahead of the giants looking to take the opportunity we have earned. We are selective but once chosen, you're in. 

Summary 

Pluto TV is seeking a Data Scientist who will use advanced statistical methods to proactively solve business problems for the supported business unit. 

The Data Scientist will be supporting one or more of the following groups: Marketing, Distribution, Revenue, Engineering, Entertainment, Retention, and Innovation. This role will be part of the Business Intelligence team and will be reporting to the Head of Data Science, Analytics, and Data Engineering. 

Responsibilities Include 

The Data Scientist will have a wide range of responsibilities, including: 

Building models (e.g. content scoring, revenue attribution, etc.)
Servicing multiple ad hoc requests in a timely manner
Providing data analysis and recommendations to the business group so that the business group starts to make significantly more data-driven decisions
Supporting the business group by building and proactively suggesting reports and dashboards that would be useful for that group
Using A/B and Multivariate testing methodology for product and feature improvements.
Ensuring consistency/standardization in data, metrics, and analysis
Qualities / Experience We're Seeking 

We believe the right individual will have the following skills and experience in order to be successful in the role: 

Mastery in statistical data mining techniques (ie GLM/Regression, Random Forest, Boosting, Trees, Text Mining, Social Network Analysis, etc)
Comfortable questioning and challenging customers to understand their requirements to reach the best solutions
Mastery in SQL and Tableau, D3 or similar data visualization products (PowerBI, MicroStrategy, Looker, etc.)
Strong scripting skills, particularly in Python (as opposed to SQL scripting) in order pull data from SQL and non-SQL sources
Experience and comfort working with unstructured/non-standardized data
Experience with R or similar statistical programming languages is preferred
Experience as an analyst or data scientist in one or more of the following domains strongly preferred: Marketing, Distribution, Revenue, Customer Retention, Engineering, and/or Entertainment
1 to 3 years of commercial experience in a data analyst or data scientist role
Masters or PhD degree in Statistics, Math, Economics, Computer Science or equivalent
Why You Should Become a Citizen of Pluto TV 

Becoming a Citizen is hard work but the rewards of citizenship are plentiful. Work with the smartest people on some of the most complex projects of your life, while profoundly impacting both Pluto TV and the broader world of entertainment. Share in the epic quest to define the future of television as we know it. Big commitment, big impact, lasting change. 

As a Citizen, you will enjoy generously-sponsored medical benefits, an open vacation policy, 401K retirement plan, social and team events, and more!
",1/16/2019,Los Angeles
Senior Data Scientist,Fair,"Who You Are
You are a highly motivated data scientist/machine learning engineer who will help us reshape the automotive industry—a trillion dollar industry. You are or would like to be a “full stack” data scientist that molds raw data sets into art—production quality machine learning models. At Fair, you will play a pivotal role in implementing machine learning models across the entire Fair app experience, as well as, running high business impacting analytics that will help us provide the best possible experience for our customers.

What You’ll Do
Collaborate across engineering and business units to help optimize the onboarding, and shopping experience
Design and develop machine learning models, explore new prediction algorithms, construct new features, and research new technologies
Deploy machine learning models as real-time production services
Develop ETL workflows and data warehousing infrastructure
Contribute to our distributed learning platform
What You'll Have
Bachelor’s degree in computer science or a quantitative discipline
Experienced in machine learning algorithms
Must have experience using Python!
Ability to work well in a collaborative (and fun) team environment, and an eagerness to contribute ideas, share skills, and develop best practices
Technologies you can expect to work with
Python, Pandas, Jupyter, SQL-Alchemy, Flask
SK-Learn, XGBoost
Airflow, Luigi
Superset, Tableau
Treasure Data, Postgres
Docker, Kubernetes, AWS
Bonus Points:
Advanced degree is a plus
Experience competing in a Kaggle competition


What You'll Get:
100% coverage of medical, dental & vision benefits for employees AND their families
Equity incentives (it’s only Fair that we are all owners of the company)
Unlimited vacation package
Daily catered lunch and fully stocked kitchen
Cellphone reimbursement
401(k)
Green commuter benefits (1 block from Light rail)
Paid parking
Employee referrals rewards
Diverse & inclusive culture
Leadership & mentorship programs
Discount on Fair cars
",1/16/2019,Los Angeles
Data Scientist (Sales Engineering),Factual,"Factual is the location data company trusted by the world's most valuable brands and technology companies to understand and intelligently grow their businesses. We help engineering teams, marketers, and data analysts build the best digital products, deliver more impactful marketing and transform their businesses with the most accurate and comprehensive data on places and people worldwide. At Factual, we love data. 

About the Sales Engineering Team:
Sales Engineering is a highly collaborative team that partners with Product, Engineering, Business Development, Partner Services, and Factual's amazing clients and industry-leading partners. As a Data Scientist on our Sales Engineering team, you will have the opportunity to work directly with our customers to analyze, explain, and visualize what is happening in the physical world and prescribe how location data can help solve business problems. You will extract data within a Hadoop ecosystem, breaking down complex requests to aggregate, filter, and transform data for analysis. You will use your expertise in analytics and statistics to provide recommendations on when and how to use location data which will influence what products we sell and how we establish competency and trust with our clients. 

---------- 

About you:
---------- 

You are a data scientist who knows the tools and algorithms to analyze data and understands how to find its shape and underlying structure. Working on the Sales Engineering team, you'll apply your analytical skills to leverage and expand Factual's established products - increasing the business questions location data may be applied to. You are a skilled communicator that will provide compelling and appropriate explanation and guidance to key existing and potential customers. You have strong engineering experience and enjoy working cross-functionally in a rapidly changing environment. You value teaching and learning and are known for sharing best practices, recommended approaches and learnings broadly. And most of all: you deliver. 
--------------------- 

What you'll do:
--------------------- 

Analyze, interpret, and solve a range of location data problems
Propose creative strategies and best practices for client evaluations, internal data analysis and products delivered based on data-driven insights
Guide clients on how they can use Factual data to solve location data problems by through an understanding of their business problems matched against our data and your expertise in analytics, data analysis, and statistics.
Use and author specifications which improve our data processing components and frameworks
Develop visualizations based on real-world data analysis challenges
----------------------------- 

What we're looking for:
----------------------------- 

An understanding of machine learning concepts and algorithms - particularly classification, clustering, and supervised learning.
Applied knowledge of Statistics (we really value people who can handle uncertainty and variance)
Fluency in Python
Familiarity with the Hadoop ecosystem
Experience with SQL in a Big Data Environment (we use Hive and Athena)
Shell scripting and comfort with command line utilities
Willingness and ability to wrangle messy data
An advanced degree in a quantitative field (Math, Statistics, Computer Science)
Excellent oral and written communication skills
Experience with working across several teams (technical and non-technical) in a cross-functional role
Cover letters will be greatly appreciated! Thanks!
",1/14/2019,Los Angeles
Data Scientist,Nirveda Cognition,"About us

We're a startup specializing in applying Natural Language Processing and A.I. to solve problems across a number of exciting industries. We're uncovering the information hidden in vast amounts of dark data and using that information to make smarter decisions and to deliver better products. As a team we value diversity, creativity, new ideas, and a willingness to learn.

We are looking for a Data Scientist with a strong background in Natural Language Processing (NLP), machine and deep learning, statistical modeling, to build experience driven products that will be used every day.

What we’re looking for

Here are a few things that we need you to be good at:

Python, including NumPy, Pandas, and other mathematics and scientific libraries
Tensorflow, Keras, scikit-learn, and other machine learning frameworks
Natural Language Processing, Machine Learning, Deep Learning, stats, techniques etc.
Experience with things like semantic search, topic modeling, knowledge-graphs, summarization, natural language generation, etc.
You'll be responsible for things like:

Data mining and machine learning using state-of-the-art methods
Selecting features, prototyping algorithms, and optimizing classifiers for production
Augmenting client data with third-party sources or information when needed
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
And these will score you some bonus points if you have some knowledge and experience of them:

Python server-side application development
Google Cloud Platform and Amazon Web Services
Proficiency in query languages like SQL, Hive, Pig
Ingesting structured and unstructured data
Continuous Learning
Data visualization in Matplotlib, Bokeh
Agile development experience
In addition, we’ll likely get along really well if you:

Constantly reflect on code reuse and modularization (humor is not the only thing you like DRY)
Feel mildly ashamed when QA finds a hole you didn't think of (i.e. you test your own features before considering them ""done”)
Are a data science purist at heart, but a pragmatist in practice
Care little about the buzz in A.I. and rather enjoying finding new solutions to challenging problems
What you’ll be doing

We are using natural language processing, machine learning, and A.I. to solve some of the most interesting and challenging problems facing the world today. Our data science team is only a handful of people, but it is the heart of everything we do, so you’d be coming in near the ground floor with a chance to contribute ideas as much as research or production code.

Why you should join us

We enjoy working hard in a laid back, politics and drama free atmosphere in an office where you’ll find frequent discussions about topics from digital music generation and analysis to visual processing and machine learning. Almost everybody at the company has hobby, music, or artistic projects that they work on the side, so we all value our time away from the office. We want you to be passionate and believe in what we are doing, but we also know that life is too full to spend it all at work. That said, we don’t fear the occasional late night or hard push to get ready for a demo, but strive to hone in our planning to prevent such occurrences from happening frequently.

Still here? Good.

If this sounds like a good fit for you, apply for the job here. Please include links to whatever credentials or sample work you prefer to share (e.g. résumé, portfolio, github, linkedin, etc).

Job Type: Full-time
",1/14/2019,Los Angeles
Data Scientist III,Health Net of California,"Responsible for advanced and predictive data analytics using big data and data science technology for healthcare innovation and outcomes. Perform analysis using data science techniques on structured and unstructured data sets, and develop algorithms for targeted business needs.

Design and develop data models to predict member outcomes or future impact of key member decisions.
Design and construct analysis tools that extract, and analyze data and store analytical results in an appropriate format for business needs.
Conduct exploratory data analysis from complex data sources and build key data sets to support Centene’s mission.
Evaluate and design experiments to monitor key metrics and identify improvement opportunities.
Develop mathematical and statistical models to distinguish relevant content or events and recognize patterns.
Participate in presentations and communicate results of research analysis and findings.
Participate in the design of automated, operational analytics processes to achieve scale and durability of analysis processes.
Validate and measure the outcomes of health management programs using SAS, R and other tools, to include provider data, claims data, membership data
Manage multiple projects as assigned and assist with training Data Analysts.
Responsible for development efforts with technical team liaisons, including gathering business requirements, documentation, testing, delivery and user adoption, and communicate expectations to the Health Plan.
Qualifications:

Knowledge/Experience: Master’s degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science with 5+ years of experience or Bachelor’s degree and 7+ years of quantitative analysis experience in data science capabilities including data mining, predictive modeling, machine learning, statistical modeling, large scale data acquisition, transformation, and structured and unstructured data analysis. Experience with database technologies, including Oracle, SAP, DB2, Teradata, MS SQL Server, SAP HANA, MySQL.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.
",1/17/2019,Los Angeles
"Data Scientist
",L&T Technology Services Ltd.,"Responsibilities
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Develop processes and tools to monitor and analyze model performance and data accuracy.

'Data Scientist to support our product services teams with insights gained from analyzing company data.
The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action.
They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations
Primary Skills
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
Secondary Skills

Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.

Any specific industry experience
Inflight Entertainment, Multimedia
Education
BE-CS/EE/IT/IS
",1/16/2019,Los Angeles
"Data Scientist - Machine Learning, Ad Tech",Uber,"At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world.

We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let’s move the world forward, together.
We are looking for a Data Scientist to join our data science team to solve interesting and impactful business problems in the domain of marketing analytics and AdTech. The ideal candidate needs to have a strong curiosity for data, and demonstrable the ability to successfully apply rigorous scientific methods with proficiency in data science knowledge and technical capabilities. This is a unique opportunity to apply your skills and have a direct impact on global business.

What you will do

Build production grade models on large-scale datasets to optimize marketing performance by utilizing advanced statistical modeling, machine learning, or data mining techniques and marketing science research.
Leverage models to address key growth challenges and provide actionable insights on problems such as cross-channel optimization, market/individual level response modeling, targeting optimization, LTV modeling, and etc.
Work with cross-functional teams to implement and deploy models and enhance analytical solutions by providing data-driven recommendations.
Leverage large scale data processing such as Spark, Hive, and Uber’s proprietary machine learning platform, and more.
Collaborate with marketing leadership, design, product and engineering teams. Participate in project planning/prioritization meetings, stakeholder meeting, data prioritization meeting, etc.

What you will need

Minimum of 1-3 years of working experience as a data scientist
Expertise with R and Python
Experience with machine learning techniques and advanced analytics (e.g. regression, classification, clustering, time series, econometrics, causal inference, mathematical optimization).
Advanced SQL skills - comfortable working with very large data sets.
Experience with big data using technologies like Hadoop, Hive, and Spark a plus.
Previous experience in advertising tech (e.g. market response modeling, forecasting, attribution, targeting, 3rd party data integration, and etc) is a plus
Great communication skills, organized, able to multitask and be a team player
Balance attention to detail with swift execution
Hunger and drive to learn complex topics
Enthusiasm about Uber!
",1/10/2019,Los Angeles
Data Scientist,Modcloth,"ModCloth is an innovative, digitally native lifestyle brand committed to inspiring individual style and helping our community of customers be the best version of themselves. Our products are vintage inspired and feature feminine silhouettes and bright, colorful prints. ModCloth designs and sells its own signature line of apparel in a full range of sizes, and curates a unique assortment of fashion and home decor from more than one hundred independent designers.

ModCloth is looking for a passionate, creative data scientist professional to join our Data & Analytics team. You will have the unique opportunity to work with massive business and social data generated by ModCloth’s unparalleled online and offline commerce. You will be responsible for building and leveraging cutting-edge machine learning, data mining, and optimization techniques to design and implement robust, scalable predictive models and analytics solutions. You will be a part of a cross-functional team of scientists, analysts, engineers, product managers, and business professionals that sit at the intersection of data science, big data, IT infrastructure, and business operations.

This role is vital to creating a positive, engaging, and unique experience for our customers. The Data Scientist will help to build our Advanced Analytics & Data Science team and launch our effort to build a data-centric culture with data-driven products.

ModCloth wants to create an in-house analytics team that leverages market, industry and customer-driven data to empower business decisions and deliver critical insights, metrics, and tools that continually improve upon our ability to provide actionable guidance to our business leaders. We want to answer questions like:

What business decisions drive the best outcomes?Why do users conduct activities in a particular sequence and does it matter?What underlying trends exist that will impact the industry in the next 12-36 months?Is there a clear set of behaviors that make a company great?What drives member engagement?

and of course...

What's next?

We are on a mission to build an eco-system that is run on data! If you have the skills and passion for providing data analysis and building data-driven products to drive that mission, then we want you to be our next Data Scientist!
What you'll do...
Perform hands-on data exploration, processing, and analysis on massive data sets.
Use machine learning, deep learning and data mining techniques to develop robust predictive models across multiple business functions; examples include omni-channel personalization, dynamic content distribution, and brand sentiment models.
Pull data from warehouse, perform feature engineering, back-test models, compare model performances and communicate the results to stakeholders.
Research and develop state-of-the-art algorithms that address complex business problems.
You have...
Advanced degree (Master or PhD) in any STEM field plus one to two years of related experience.
Technical expertise in data mining, machine learning, and statistical analysis.
Proficient in machine learning and data mining packages in Python.
Experience working with large data sets and distributed computing tools (Map/Reduce, Hadoop, Hive, or Spark). Expertise with shell scripting.
Ability to work in a fast-paced, iterative development environment.
Good communication skills, ability to work with cross-functional teams of technical and non-technical members.
Programming skills in one of the following languages: SQL, Java, or JavaScript on a UNIX or Linux platform.
** Please note that U.S. Visa Sponsorship and Relocation Assistance are not currently available for this role.

We’re building a new kind of company and culture, and we’re building it from the inside out. We are investing in hiring, developing, and retaining the brightest minds in the world. Everything we do is grounded in our core values: integrity, empathy, intellectual honesty and spirit of creativity & innovation.
",1/14/2019,Los Angeles
